icao_code,manufacturerName,model
485009,Boeing,737NG 8K2/W
485123,Boeing,737NG 8K2/W
3451d3,Airbus,A320 232SL
48520d,Boeing,737NG 8K2/W
484c59,Boeing,737NG 8K2/W
485061,Boeing,737NG 8K2/W
4ca9c3,The Boeing Company,BOEING 737-8AS
4ca243,The Boeing Company,BOEING 737-8AS
48520c,Boeing,737NG 8K2/W
48414d,Boeing,737NG 8K2/W
484f6c,Boeing,737NG 8K2/W
4853d2,Boeing,737NG 800/W
4853d3,Boeing,737NG 800/W
3442cc,Avions De Transport Regional,ATR 72 600
44068e,Cessna,Citation CJ2+
343694,Bombardier,CRJ 1000 NG
3444ca,Airbus,A320 214SL
34454a,Airbus,A320 214
343046,Airbus,A320 214
3430cc,Airbus,A320 216
3424d4,Airbus,A320 214
345206,Airbus,A320 232SL
4d225d,Boeing,Boeing 737-8AS (W)
4d2247,Boeing,Boeing 737-8AS (W)
48c12c,Boeing,Boeing 737-8AS
4ca259,The Boeing Company,BOEING 737-8AS
485122,Boeing,737NG 8K2/W
44cdc6,Airbus,A320 214
44d076,Airbus,A320 214
44ce6c,Airbus,A319 111
3e4719,Cessna,Citation CJ2+
4d2212,Boeing,Boeing 737-8AS (W)
4ca646,The Boeing Company,BOEING 737-8AS
4ca704,The Boeing Company,BOEING 737-8AS
471f71,Airbus,A321 231SL
4ca2c0,The Boeing Company,BOEING 737-8AS
4ca27c,The Boeing Company,BOEING 737-8AS
4ca7b6,The Boeing Company,BOEING 737-8AS
48c122,Boeing,737-8AS (W)
4ca621,The Boeing Company,BOEING 737-8AS
3c5eea,Airbus,A319 132
3c4b4c,Airbus,A320 216
3c49d5,Airbus,A320 214
3c4b4e,Airbus,A320 216
3c4906,Airbus,A320 214
3c5ee3,Airbus,A319 132
34530e,Bombardier,CRJ 1000 NG
345250,Bombardier,CRJ 1000 NG
3451da,Bombardier,CRJ 1000 NG
34530d,Bombardier,CRJ 1000 NG
344445,Airbus,A320 214SL
342592,Airbus,A320 216
3451d8,Bombardier,CRJ 1000 NG
344156,Airbus,A320 214
3424d1,Airbus,A320 214
346188,Airbus Industrie,A319-111
3442cb,Avions De Transport Regional,ATR 72 600
3c542a,Airbus,A300 B4-622RF
3c5424,Airbus,A300 B4-622RF
3c5422,Airbus,A300 B4-622RF
3c5432,Airbus,A300 B4-622RF
3c5423,Airbus,A300 B4-622RF
3991e5,Airbus,A320 214SL
3991e8,Airbus,A320 214SL
4d20e6,Bombardier,Challenger 350
3980e0,Cessna,Citation Mustang
485209,Boeing,737NG 8K2/W
3985a6,Airbus,A320 214
398561,Embraer,EMB-190 LR
484556,Boeing,737NG 8K2/W
3991e6,Airbus,A320 214SL
44034b,Airbus Industrie,A319-111
4853d4,Boeing,737NG 800/W
440172,Airbus,A319-111
48415e,Boeing,737NG 8K2/W
3c6583,Airbus,A319 114
3c6585,Airbus,A319 114
3c4dc4,Bombardier,CRJ 900 LR NG
3c6589,Airbus,A319 114
3c658d,Airbus,A319 114
3c4dcb,Bombardier,CRJ 900 LR NG
3c644a,Airbus,A319 112
3c4dc6,Bombardier,CRJ 900 LR NG
3c6448,Airbus,A319 112
3c6445,Airbus,A319 112
485206,Embraer,EMB-190 STD
3c4dcc,Bombardier,CRJ 900 LR NG
3c66e1,Airbus,A320 214SL
3c6441,Airbus,A319 112
484bd1,Embraer,EMB-190 STD
3e52f8,Cessna,Citation CJ2+
3c6444,Airbus,A319 112
3c4dd4,Bombardier,CRJ 900 LR NG
3c6584,Airbus,A319 114
3c4dd7,Bombardier,CRJ 900 LR NG
3006b5,Embraer,EMB-195 LR
3c66ea,Airbus Industrie,A320-214
3e4af1,Cessna,Citation CJ2+
3c674e,Airbus,A320 214
300394,Embraer,EMB-195 LR
484130,Boeing,737NG 8K2/W
3c4dd2,Bombardier,CRJ 900 LR NG
3c6597,Airbus,A319 114
3c66a8,Airbus,A320 214SL
48415f,Boeing,737NG 8K2/W
484cb4,Boeing,737NG 8K2/W
3c6757,Airbus,A320 214SL
3c65d2,Airbus Industrie,A320-271N
3c4dc2,Bombardier,CRJ 900 LR NG
3c66b0,Airbus,A320 214SL
3c6582,Airbus,A319 114
3c66a6,Airbus,A320 214SL
3c66a3,Airbus,A320 214SL
3c4dcd,Bombardier,CRJ 900 LR NG
3c6750,Airbus,A320 214SL
484b32,Embraer,EMB-190 STD
484c54,Embraer,EMB-190 STD
3c6590,Airbus,A319 114
3c4439,Bombardier,Bombardier Challenger 604
484161,Boeing,737NG 8K2/W
342581,Airbus,A320 216
345248,Airbus,A321 231SL
345398,Airbus,A320 232SL
484555,Boeing,737NG 8K2/W
3451d5,Airbus,A320 232SL
484133,Boeing,737NG 8K2/W
34535a,Airbus,A321 231SL
491311,Cessna,Citation XLS
3444cf,Airbus,A320 214SL
484160,Boeing,737NG 8K2/W
484ee5,Boeing,737NG 8K2/W
3444d1,Airbus,A320 214
4d224c,Boeing,Boeing 737-8AS (W)
484fdf,Boeing,737NG 8K2/W
4d220c,Boeing,737-8AS (W)
4d225e,Boeing,Boeing 737-8AS (W)
484165,Boeing,737NG 8K2/W
4ca92d,Airbus Industrie,A320-214
4ca281,Airbus Industrie,A320-214
484f18,Boeing,737NG 8K2/W
4ca837,Airbus,A320 214
4ca63a,Airbus Industrie,A320-214
4ca27f,Airbus Industrie,A320-214
4ca63b,Airbus Industrie,A320-214
48c139,Boeing,Boeing 737-8AS (W)
4ca935,Airbus Industrie,A320-214
4ca295,Airbus Industrie,A320-214
4ca2cb,Airbus Industrie,A320-214
4ca640,Airbus Industrie,A320-214
4ca216,Airbus Industrie,A320-214
4ca76f,Airbus Industrie,A320-214
4ca625,The Boeing Company,BOEING 737-8AS
4ca293,Airbus Industrie,A320-214
4ca741,The Boeing Company,BOEING 737-8AS
4ca5c8,Airbus Industrie,A320-214
4ca737,The Boeing Company,BOEING 737-8AS
4ca2c9,Airbus Industrie,A320-214
4ca836,Airbus Industrie,A320-214
4ca251,The Boeing Company,BOEING 737-8AS
4ca294,Airbus Industrie,A320-214
4ca566,The Boeing Company,BOEING 737-8AS
4ca703,The Boeing Company,BOEING 737-8AS
484166,Boeing,737NG 8K2/W
484c24,Embraer,EMB-190 STD
484162,Boeing,737NG 8K2/W
4ac9e2,Airbus,A320 251NSL
484c50,Embraer,EMB-190 STD
45ac30,Airbus,A320 232
4ca81d,Airbus Industrie,A320-216
484132,Boeing,737NG 8K2/W
484ee4,Boeing,737NG 8K2/W
4ca85b,Airbus Industrie,A320-216
4caab4,Airbus Industrie,A319-111
4400b3,Airbus,A319 111
4ca82e,Airbus Industrie,A320-216
44065b,Airbus,A320 214
440607,Airbus Industrie,A320-214
44082b,Embraer,EMB-195 LR
440820,Embraer,EMB-195 LR
44004f,Airbus,A320 214
440609,Airbus Industrie,A320-214
44001c,Airbus,A320 214
440668,Airbus,A320 214
4408df,Airbus,A320 214
440669,Airbus,A320 214
44001a,Airbus,A320 214
461fa5,Airbus,A321 231SL
461f63,Airbus,A320 214
461f6d,Airbus,A320 214
461f6e,Airbus,A320 214
461fa2,Airbus,A321 231SL
461f9d,Airbus,A321 231SL
461f9a,Airbus,A321 211
484f80,Embraer,EMB-190 STD
485064,Embraer,EMB-190 STD
484c51,Embraer,EMB-190 STD
484b31,Embraer,EMB-190 STD
4ac9f8,Airbus Industrie,A320-251N
47bb0a,Airbus,A320 251NSL
34530c,Boeing,787 8
346204,Airbus Industrie,A320-251N
346316,Airbus,A320-251N
344449,Airbus,A320-216
3420cb,Airbus,A320 214
484557,Boeing,737NG 8K2/W
344648,Airbus,A320 214SL
34444b,Airbus,A320 214
4bb296,Airbus Industrie,A321-271NX
4ba9d2,Airbus,A330 343E
4b906c,Airbus,A320 214SL
4ba9e2,Airbus,A330 303
4bb1c3,Airbus,A330 303
4ba9cb,Airbus,A330 343E
4bb1e7,Airbus,A330 343E
484b30,Embraer,EMB-190 STD
48ada0,Embraer,EMB-195 LR
48ada1,Embraer,EMB-195 LR
344409,Airbus,A320 232SL
448463,Cessna,Citation CJ2+
484c52,Embraer,EMB-190 STD
484fde,Boeing,737NG 8K2/W
4a08ea,Boeing,737NG 800/W
48455a,Boeing,737NG 8K2/W
398560,Embraer,EMB-190 LR
398564,Embraer,EMB-190 LR
398569,Embraer,EMB-190 STD
484f73,Airbus,A330 303
484b2a,Boeing,737NG 8K2/W
3cd2d3,Cessna,Citation XLS
3d7e6e,Pilatus,PC-XII 47E
4952c3,Airbus,A320-251N
4ba999,Airbus,A319 132
4ba916,Boeing,737NG 8F2/W
4b9068,Airbus,A320 214SL
4ba8d2,Boeing,737NG 8F2/W
4baa6b,Airbus,A321 231SL
4bab25,Boeing,737NG 9F2ER/W
4bab47,Boeing,737NG 8F2/W
4baacc,Boeing,737NG 8F2/W
4baac8,Boeing,737NG 8F2/W
4baa8c,Airbus,A321 231SL
4ba91a,Boeing,737NG 8F2/W
4baac2,Boeing,737NG 8F2/W
4baacd,Boeing,737NG 8F2/W
4baa14,Airbus,A320 232
4baa62,Airbus,A321 231
4baa4d,Airbus,A321 231
4baac3,Boeing,737NG 8F2/W
4baa0a,Airbus,A320 232
4baac4,Boeing,737NG 8F2/W
4baa64,Airbus,A321 231
4baac6,Boeing,737NG 8F2/W
4ba8c8,Boeing,737NG 8F2/W
4baa5a,Airbus,A321 231
4baad4,Boeing,737NG 8F2/W
4ba915,Boeing,737NG 8F2/W
4bb84b,Airbus,A320 251NSL
4bb849,Airbus,A320 251NSL
4bab2a,Boeing,737NG 9F2ER/W
4baac1,Boeing,737NG 8F2/W
4b9065,Airbus,A320 214SL
4baa09,Airbus,A320 232
4bab29,Boeing,737NG 9F2ER/W
4baad3,Boeing,737NG 8F2/W
4b9067,Airbus,A320 214SL
4bab26,Boeing,737NG 9F2ER/W
4baacf,Boeing,737NG 8F2/W
4ba99a,Airbus,A319 132
4baaca,Boeing,737NG 8F2/W
4bb843,Airbus,A320 251NSL
4bb848,Airbus,A320 251NSL
4baa50,Airbus,A321 231
4bab28,Boeing,737NG 9F2ER/W
4bab2c,Boeing,737NG 9F2ER/W
4bab2d,Boeing,737NG 9F2ER/W
4baa41,Airbus,A321 231
4bab21,Boeing,737NG 9F2ER/W
4bb846,Airbus,A320 251NSL
4ba8da,Boeing,737NG 8F2/W
4ba9e5,Airbus,A330 303
4baa63,Airbus,A321 231
4baa54,Airbus,A321 231
4bab48,Boeing,737NG 800/W
4baa0d,Airbus,A320 232
4ba9a8,Airbus,A321 231
4baac5,Boeing,737NG 8F2/W
4baa10,Airbus,A320 232SL
4bcde6,Boeing,737NG 800/W
4bcde5,Boeing,737NG 800/W
4bb84a,Airbus,A320 251NSL
4bcdf0,Boeing,737-8AS
3c56f6,Airbus,A320 214SL
3c56eb,Airbus,A320 214SL
3c49ce,Airbus,A320 214
3e25ba,Raytheon Aircraft Company,Premier I
344295,Avions De Transport Regional,ATR 72 600
344307,Avions De Transport Regional,ATR 72 600
398566,Embraer,EMB-190 STD
4bab2e,Boeing,737NG 9F2ER/W
4baada,Boeing,737NG 8F2/W
48c134,Boeing,Boeing 737-8AS (W)
4d2234,Boeing,Boeing 737-8AS (W)
48ada2,Embraer,EMB-195 LR
48ada3,Embraer,EMB-195 LR
48ada5,Embraer,EMB-195 LR
48c12b,Boeing,Boeing 737-8AS (W)
48c125,Boeing,737-8AS (W)
4d21eb,Boeing,737-8AS (W)
4ca8e8,The Boeing Company,BOEING 737-8AS
4d2233,The Boeing Company,BOEING 737-8AS
4d2242,Boeing,Boeing 737-8AS (W)
44cdc8,Airbus,A320 214
44ce6a,Airbus,A319 111
3c4b45,Airbus,A320 216
3c4b49,Airbus,A320 216
3c4b4b,Airbus,A320 216
4d2248,Boeing,Boeing 737-8AS (W)
3c658c,Airbus,A319 114
3c6449,Airbus,A319 112
3c66e8,Airbus Industrie,A320-214
3c64a1,Airbus Industrie,A321-271NX
3c674d,Airbus,A320 214
3c6667,Airbus,A321 231
3c6749,Airbus,A320 214
3c6676,Airbus,A321 231
3c667a,Airbus,A321 231
3c674f,Airbus,A320 214
3c6447,Airbus,A319 112
3c66eb,Airbus Industrie,A320-214
3c6748,Airbus,A320 214
4ca4f0,The Boeing Company,BOEING 737-8AS
4ca2bf,The Boeing Company,BOEING 737-8AS
3c66a9,Airbus,A320 214SL
3c65ce,Airbus Industrie,A320-271N
3c66a5,Airbus,A320 214SL
3c66ad,Airbus,A320 214SL
4ca56b,The Boeing Company,BOEING 737-8AS
4d228f,Boeing,737-8AS
4ca88c,The Boeing Company,BOEING 737-8AS
4ca9d1,The Boeing Company,BOEING 737-8AS
4ca27a,The Boeing Company,BOEING 737-8AS
4ca8d6,The Boeing Company,BOEING 737-8AS
4ca624,The Boeing Company,BOEING 737-8AS
471f66,Airbus,A321 231SL
4ca647,The Boeing Company,BOEING 737-8AS
48c132,Boeing Aircraft Company,737-8AS
4ca809,The Boeing Company,BOEING 737-8AS
4ca8af,The Boeing Company,BOEING 737-8AS
4ca61c,The Boeing Company,BOEING 737-8AS
4d2261,Boeing,737-8AS
4ca847,The Boeing Company,BOEING 737-8AS
4ca8e6,The Boeing Company,BOEING 737-8AS
440827,Embraer,EMB-195 LR
440825,Embraer,EMB-195 LR
440822,Embraer,EMB-195 LR
44081d,Embraer,EMB-195 LR
440823,Embraer,EMB-195 LR
4d21fc,Boeing,737-8AS (W)
4d00d8,Bombardier,DHC-8 402 NG
4ca857,The Boeing Company,BOEING 737-8AS
461e1a,Embraer,EMB-190 LR
461e1f,Embraer,EMB-190 LR
461e21,Embraer,EMB-190 LR
461e16,Embraer,EMB-190 LR
461f62,Airbus,A320 214
3443d5,Airbus,A320 214SL
4ca97c,The Boeing Company,BOEING 737-8AS
345249,Airbus,A321 231SL
345042,Airbus,A321 231SL
344157,Airbus,A320 214
345314,Airbus,A321 231SL
3424d2,Airbus,A320 214
3453c3,Airbus,A321 231SL
344699,Airbus,A321 231SL
4d2239,Boeing,Boeing 737-8AS (W)
345614,Airbus,A320-214
4ca24d,The Boeing Company,BOEING 737-8AS
4ca75f,The Boeing Company,BOEING 737-8AS
343194,Airbus,A320 214
344487,Boeing,737NG 85P/W
3451d4,Airbus,A320 232SL
4ca816,The Boeing Company,BOEING 737-8AS
345041,Airbus,A321 231SL
4ca702,The Boeing Company,BOEING 737-8AS
34440a,Airbus,A320 232SL
4ca6fc,The Boeing Company,BOEING 737-8AS
4ca701,The Boeing Company,BOEING 737-8AS
4ca815,The Boeing Company,BOEING 737-8AS
342591,Airbus,A320 216
4ca8d9,The Boeing Company,BOEING 737-8AS
4ca303,The Boeing Company,BOEING 737-8AS
3453d3,Bombardier,CRJ 1000 NG
3c5ee6,Airbus,A319 132
3c56ef,Airbus,A320 214SL
3c6490,Airbus,A321 231
3c5eed,Airbus,A319 132
4ca4f4,The Boeing Company,BOEING 737-8AS
34454b,Airbus,A320 214
345101,Airbus,A319 112
4d2280,Boeing,Boeing 737-8AS (W)
4cada7,Airbus Industrie,A320-271N
3444da,Airbus,A320 232SL
4ca4ef,The Boeing Company,BOEING 737-8AS
34440b,Airbus,A320 232SL
4ca7b5,The Boeing Company,BOEING 737-8AS
4690e2,Airbus,A320 232
344646,Airbus,A320 232SL
344696,Airbus,A320 232SL
344695,Airbus,A320 232SL
345212,Airbus,A321 231SL
344501,Airbus,A320 232SL
4d2265,Boeing,Boeing 737-8AS (W)
344557,Airbus,A320 214
345204,Airbus,A319 112
4d2237,Boeing,Boeing 737-8AS (W)
4d2223,Boeing,737-8AS (W)
4ca810,The Boeing Company,BOEING 737-8AS
344692,Airbus,A320 232SL
4a91f8,Airbus,A320 251NSL
3c49d4,Airbus,A320 214
3c5eef,Airbus,A319 132
3c5ef2,Airbus,A319 132
3c5ee1,Airbus,A319 132
4ca64e,The Boeing Company,BOEING 737-8AS
3991e7,Airbus,A320 214SL
344099,Airbus,A320 214
345313,Airbus,A320 232SL
398562,Embraer,EMB-190 LR
3991e9,Airbus,A320 214SL
3986e7,Embraer,EMB-170 STD
3991e3,Airbus,A320 214
34469a,Airbus,A321 231SL
3986e9,Embraer,EMB-170 STD
4ca912,The Boeing Company,BOEING 737-8AS
4ca623,The Boeing Company,BOEING 737-8AS
4405b6,Airbus,A319-111
4ca9d4,The Boeing Company,BOEING 737-8AS
440128,Airbus Industrie,A320-214
44064a,Airbus,A319-111
440170,Airbus Industrie,A319-111
4ba9cd,Airbus,A330 343E
4ba9da,Airbus,A330 303
4baac7,Boeing,737NG 8F2/W
4ba890,Airbus,A330 243F
4bb279,Airbus,A321-271NX
4baa75,Airbus,A321 231SL
4baa8d,Airbus,A321 231SL
4ba9e8,Airbus,A330 303
345205,Airbus,A319 112
3452c9,Airbus,A320 232SL
344645,Airbus,A320 232SL
3c65cc,Airbus Industrie,A320-271N
3c66ac,Airbus,A320 214SL
3c648d,Airbus,A321 231
3c666a,Airbus,A321 231
3c6486,Airbus,A321 231
3c6542,Airbus Industrie,A320-271N
3c65cb,Airbus Industrie,A320-271N
44061c,Airbus,A319-111
3c66ae,Airbus,A320 214SL
3c6672,Airbus,A321 231
3c6674,Airbus,A321 231
3c6666,Airbus,A321 231
3c6741,Airbus,A320 214
3c6588,Airbus,A319 114
3c6595,Airbus,A319 114
3c66a1,Airbus,A320 214SL
3c664d,Airbus,A321 131
3c6650,Airbus,A321 131
3c64a7,Airbus Industrie,A321-271NX
3c6678,Airbus,A321 231
3c6754,Airbus,A320 214SL
3c6543,Airbus Industrie,A320-271N
3c6675,Airbus,A321 231
3c6746,Airbus,A320 214
3c65d9,Airbus Industrie,A320-271N
3c6663,Airbus,A321 231
3c6753,Airbus,A320 214SL
48c229,Boeing Aircraft Company,737-8AS
4d2272,Boeing,Boeing 737-8AS
3443d4,Airbus,A320 214SL
4ca770,Airbus Industrie,A320-214
3420cc,Airbus,A320 214
34520d,Bombardier,Global Express XRS
345103,Airbus,A330 343E
34620b,Airbus Industrie,A320-271N
342091,Airbus,A320 214
3e31d8,Cessna,Citation CJ2+
345299,Boeing,787 8
4ca806,The Boeing Company,BOEING 737-8AS
4d2213,Boeing,737-8AS (W)
4d21ed,Boeing,737-8AS (W)
300363,Hawker Beechcraft Corp,Premier I
3430cd,Airbus,A320 216
440667,Airbus,A320 214
44006c,Airbus,A320 214
440052,Airbus,A320 214
48c138,Boeing,Boeing 737-8AS (W)
4d2221,Boeing,737-8AS
4ca84a,The Boeing Company,BOEING 737-8AS
4ca8d5,The Boeing Company,BOEING 737-8AS
4952c6,Airbus,A320-251N
495293,Airbus,A319 112
495145,Airbus,A321 211
495217,Embraer,EMB-190 LR
495210,Embraer,EMB-190 LR
4951cd,Airbus,A320 214
4951cc,Airbus,A320 214
3c5434,Airbus,A300 B4-622RF
4951d4,Airbus,A320 214SL
4d2143,Airbus,A319 111
44cdc9,Airbus,A320 214
44ce62,Airbus,A319 111
4d00da,Bombardier,DHC-8 402 NG
4d00d4,Bombardier,DHC-8 402 NG
4d00d7,Bombardier,DHC-8 402 NG
3c56f3,Airbus,A320 214SL
3c5ee7,Airbus,A319 132
3c56f1,Airbus,A320 214SL
3c48ee,Airbus,A319 112
4ca82f,Airbus Industrie,A320-216
4841a9,Boeing,737NG 8K2/W
4ca708,The Boeing Company,BOEING 737-8AS
4ca811,The Boeing Company,BOEING 737-8AS
4ca4f5,The Boeing Company,BOEING 737-8AS
4d21f0,Boeing,737-8AS
4d2258,Boeing,Boeing 737-8AS (W)
4ca9ed,The Boeing Company,BOEING 737-8AS
4d2251,Boeing,Boeing 737-8AS (W)
4ca6a6,The Boeing Company,BOEING 737-8AS
48c126,Boeing,737-8AS (W)
4ca2d5,The Boeing Company,BOEING 737-8AS
4ca802,The Boeing Company,BOEING 737-8AS
4ca264,The Boeing Company,BOEING 737-8AS
4ca9cf,The Boeing Company,BOEING 737-8AS
44001b,Airbus,A320 214
44022b,Airbus Industrie,A320-216
44082c,Embraer,EMB-195 LR
44006e,Airbus,A320 214
440828,Embraer,EMB-195 LR
440821,Embraer,EMB-195 LR
440824,Embraer,EMB-195 LR
440666,Airbus,A320 214
44081e,Embraer,EMB-195 LR
48ada4,Embraer,EMB-195 LR
4ba9ea,Airbus,A330 303
4baa6c,Airbus,A321 231SL
4baa79,Airbus,A321 231SL
4bb286,Airbus,A321-271NX
4baa55,Airbus,A321 231
4baa73,Airbus,A321 231SL
4baa81,Airbus,A321 231SL
4ba9c9,Airbus,A330 343E
4baa84,Airbus,A321 231SL
4baa86,Airbus,A321 231SL
44093e,Airbus,A320-214
39e4ac,Airbus,A320 216
440219,Airbus,A320-214
440181,Airbus,A319-111
3991e4,Airbus,A320 214
3c664e,Airbus,A321 131
3c6643,Airbus,A321 131
3c66aa,Airbus,A320 214SL
3c6743,Airbus,A320 214
3c6658,Airbus,A321 131
3c6742,Airbus,A320 214
3c6671,Airbus,A321 231
3c65ca,Airbus Industrie,A320-271N
3c6745,Airbus,A320 214
3c648c,Airbus,A321 231
3c6653,Airbus,A321 131
3c664c,Airbus,A321 131
3c6487,Airbus,A321 231
3c4dc7,Bombardier,CRJ 900 LR NG
3c664f,Airbus,A321 131
3c658e,Airbus,A319 114
3c4dca,Bombardier,CRJ 900 LR NG
3c6657,Airbus,A321 131
3c658b,Airbus,A319 114
4ca9d2,The Boeing Company,BOEING 737-8AS
3c56ee,Airbus,A320 214SL
3c56f7,Airbus,A320 214SL
3c66a7,Airbus,A320 214SL
3c66a2,Airbus,A320 214SL
3c66ab,Airbus,A320 214SL
3c6759,Airbus,A320 214SL
3c648e,Airbus,A321 231
3c6598,Airbus,A319 114
3c666b,Airbus,A321 231
3c6751,Airbus,A320 214SL
3c6593,Airbus,A319 114
3c6670,Airbus,A321 231
3c48e8,Airbus,A319 112
3c48f0,Airbus,A319 112
3c6594,Airbus,A319 114
3c56f2,Airbus,A320 214SL
3c56ec,Airbus,A320 214SL
3c5eee,Airbus,A319 132
3c5ee4,Airbus,A319 132
49130d,Cessna,Citation XLS
4ca645,The Boeing Company,BOEING 737-8AS
471f64,Airbus,A321 231SL
471f67,Airbus,A321 231SL
491d86,Bombardier,Bombardier Global 6000
440065,Airbus Industrie,A319-111
4692d4,Airbus,A320 232
4409c0,Airbus,A320 214SL
4ab564,Avions De Transport Regional,ATR 72 600
461f67,Airbus,A320 214
